0.9622093023255814
n_estimators	oob_error
23	0.04268665850673192
24	0.04146266829865364
25	0.04192166462668301
26	0.041615667074663354
27	0.04130966952264381
28	0.04085067319461444
29	0.03977968176254587
30	0.0399326805385557
31	0.0399326805385557
32	0.0399326805385557
33	0.039626682986536155
34	0.039626682986536155
35	0.039626682986536155
36	0.03977968176254587
37	0.04023867809057524
38	0.0399326805385557
39	0.03977968176254587
40	0.0399326805385557
41	0.0399326805385557
42	0.04023867809057524
43	0.03947368421052633
44	0.039167686658506784
45	0.03901468788249696
46	0.03840269277845776
47	0.038555691554467586
48	0.038096695226438215
49	0.038096695226438215
50	0.038096695226438215
51	0.03886168910648713
52	0.03824969400244793
53	0.03794369645042839
54	0.038555691554467586
55	0.03824969400244793
56	0.038555691554467586
57	0.03901468788249696
58	0.038555691554467586
59	0.038555691554467586
60	0.0387086903304773
61	0.03901468788249696
62	0.03886168910648713
63	0.03886168910648713
64	0.039626682986536155
65	0.039626682986536155
66	0.0393206854345165
67	0.0393206854345165
68	0.0387086903304773
69	0.03886168910648713
70	0.03886168910648713
71	0.039167686658506784
72	0.03886168910648713
73	0.03901468788249696
74	0.0393206854345165
75	0.03840269277845776
76	0.0393206854345165
77	0.039167686658506784
78	0.03947368421052633
79	0.0393206854345165
80	0.039167686658506784
81	0.03886168910648713
82	0.038555691554467586
83	0.03824969400244793
84	0.038096695226438215
85	0.0387086903304773
86	0.0387086903304773
87	0.03886168910648713
88	0.03886168910648713
89	0.03886168910648713
90	0.03886168910648713
91	0.03824969400244793
92	0.038555691554467586
93	0.038555691554467586
94	0.038096695226438215
95	0.038096695226438215
96	0.03840269277845776
97	0.03824969400244793
98	0.03840269277845776
99	0.038555691554467586
100	0.038555691554467586
101	0.03824969400244793
102	0.03779069767441856
103	0.03794369645042839
104	0.037637698898408845
105	0.03733170134638919
106	0.03733170134638919
107	0.03779069767441856
108	0.037637698898408845
109	0.03748470012239902
110	0.037637698898408845
111	0.03733170134638919
112	0.03748470012239902
113	0.03748470012239902
114	0.03748470012239902
115	0.03748470012239902
116	0.037178702570379474
117	0.03702570379436965
118	0.03702570379436965
119	0.03702570379436965
120	0.03702570379436965
121	0.0367197062423501
122	0.036566707466340276
123	0.0367197062423501
124	0.036566707466340276
125	0.0367197062423501
126	0.0367197062423501
127	0.03641370869033045
128	0.036107711138310905
129	0.036566707466340276
130	0.036566707466340276
131	0.03687270501835982
132	0.037178702570379474
133	0.03687270501835982
134	0.03641370869033045
135	0.036107711138310905
136	0.036566707466340276
137	0.0367197062423501
138	0.0367197062423501
139	0.0367197062423501
140	0.036566707466340276
141	0.0367197062423501
142	0.036566707466340276
143	0.03687270501835982
144	0.03687270501835982
145	0.0367197062423501
146	0.03702570379436965
147	0.037178702570379474
148	0.037178702570379474
149	0.03733170134638919
150	0.03748470012239902
151	0.03733170134638919
152	0.03779069767441856
153	0.03779069767441856
154	0.03779069767441856
155	0.038096695226438215
156	0.037637698898408845
157	0.037637698898408845
158	0.037178702570379474
159	0.03779069767441856
160	0.03779069767441856
161	0.037637698898408845
162	0.03779069767441856
163	0.03794369645042839
164	0.037637698898408845
165	0.03779069767441856
166	0.038096695226438215
167	0.03779069767441856
168	0.038096695226438215
169	0.03779069767441856
170	0.03779069767441856
171	0.037637698898408845
172	0.037637698898408845
173	0.03779069767441856
174	0.037637698898408845
175	0.03779069767441856
