n_estimators	oob_error
23	0.1861995104039168
24	0.18574051407588743
25	0.18466952264381886
26	0.18206854345165235
27	0.18222154222766218
28	0.18145654834761327
29	0.17946756425948596
30	0.17900856793145659
31	0.17992656058751533
32	0.17854957160342722
33	0.17824357405140756
34	0.1783965728274174
35	0.177172582619339
36	0.17701958384332928
37	0.17610159118727053
38	0.17487760097919214
39	0.17503059975520197
40	0.17487760097919214
41	0.17380660954712357
42	0.17548959608323134
43	0.17564259485924116
44	0.17441860465116277
45	0.1733476132190942
46	0.1739596083231334
47	0.17380660954712357
48	0.17426560587515305
49	0.17365361077111385
50	0.17242962056303546
51	0.17227662178702574
52	0.17242962056303546
53	0.171358629130967
54	0.17242962056303546
55	0.1721236230110159
56	0.1721236230110159
57	0.17120563035495717
58	0.1721236230110159
59	0.17151162790697672
60	0.17166462668298654
61	0.1693696450428397
62	0.16998164014687878
63	0.16860465116279066
64	0.16799265605875158
65	0.16722766217870255
66	0.16783965728274175
67	0.16738066095471238
68	0.16799265605875158
69	0.16783965728274175
70	0.16676866585067318
71	0.16768665850673192
72	0.1681456548347613
73	0.1675336597307222
74	0.16738066095471238
75	0.16799265605875158
76	0.16845165238678095
77	0.16921664626682986
78	0.16982864137086906
79	0.17089963280293763
80	0.1701346389228886
81	0.1693696450428397
82	0.1701346389228886
83	0.16982864137086906
84	0.16982864137086906
85	0.16845165238678095
86	0.16860465116279066
87	0.16799265605875158
88	0.16707466340269272
89	0.1693696450428397
90	0.1695226438188494
91	0.16906364749082003
92	0.16891064871481032
93	0.16906364749082003
94	0.16783965728274175
95	0.1681456548347613
96	0.16707466340269272
97	0.16646266829865364
98	0.16722766217870255
99	0.1675336597307222
100	0.16768665850673192
101	0.16829865361077112
102	0.16768665850673192
103	0.1675336597307222
104	0.16860465116279066
105	0.16768665850673192
106	0.16768665850673192
107	0.1681456548347613
108	0.16783965728274175
109	0.1687576499388005
110	0.16783965728274175
111	0.16768665850673192
112	0.166921664626683
113	0.16676866585067318
114	0.16768665850673192
115	0.16722766217870255
116	0.16799265605875158
117	0.1681456548347613
118	0.16891064871481032
119	0.16906364749082003
120	0.1681456548347613
121	0.1681456548347613
122	0.16829865361077112
123	0.16783965728274175
124	0.16722766217870255
125	0.16783965728274175
126	0.16676866585067318
127	0.16676866585067318
128	0.16661566707466335
129	0.16646266829865364
130	0.16707466340269272
131	0.16646266829865364
132	0.16707466340269272
133	0.16722766217870255
134	0.16768665850673192
135	0.16738066095471238
136	0.1675336597307222
137	0.1675336597307222
138	0.16768665850673192
139	0.16661566707466335
140	0.16768665850673192
141	0.16768665850673192
142	0.16738066095471238
143	0.16768665850673192
144	0.16768665850673192
145	0.16768665850673192
146	0.16722766217870255
147	0.16768665850673192
148	0.16829865361077112
149	0.16799265605875158
150	0.16768665850673192
151	0.16860465116279066
152	0.16829865361077112
153	0.16722766217870255
154	0.16783965728274175
155	0.1675336597307222
156	0.16722766217870255
157	0.16799265605875158
158	0.16845165238678095
159	0.16891064871481032
160	0.16860465116279066
161	0.16860465116279066
162	0.1681456548347613
163	0.16799265605875158
164	0.16860465116279066
165	0.16783965728274175
166	0.16768665850673192
167	0.16722766217870255
168	0.166921664626683
169	0.16676866585067318
170	0.16676866585067318
171	0.16661566707466335
172	0.16646266829865364
173	0.16661566707466335
174	0.16646266829865364
175	0.16676866585067318
